微博id,微博发布时间,发布人账号,微博中文内容,微博图片,微博视频,情感倾向
4.45745E+15,01月05日 19:07,尛胖蟹,也许是发烧烧坏脑子了39度的温度让我想起你?,[],[],0
4.45751E+15,01月05日 22:50,格桑菩生,儿子发烧了??妈妈没有照顾好你妈妈只求你能健康快乐其他什么都不重要你最重要?,[],[],1
4.4575E+15,01月05日 22:08,o柠萌萌不檬o,新年初始，第一天加班(法定假日应该放假的)，第二天着凉，第三天，第四天，第五天连续三天晚上发烧，这是要闹哪样？？？?,['https://ww1.sinaimg.cn/orj360/9db9adadly1gam1fpr0zij20f00f0q3j.jpg'],[],-1
4.45752E+15,01月05日 23:46,凤羽_青羲,发烧发热的要特别注意了,['https://ww4.sinaimg.cn/orj360/9e5389bbly1galyvqrbnpj20go0gotiq.jpg'],[],0
4.4575E+15,01月05日 22:29,JAY薇儿,上周一感冒??，还把小宝贝给传染了害她发烧??流鼻涕去了一趟医院买了好多药我自己没有吃药，想着过几天就好了然而。。过了4-5天，咳嗽越厉害啦妈妈让我去买药，别拖着。治咳嗽的，消炎的，冲剂，3盒药??一张毛爷爷就没啦，吃了3天没点效果咳嗽快把肺咳出来了那种无法控制的咳?展开全文c,['https://ww4.sinaimg.cn/orj360/6b6fd26agy1gam1venfh9j22c0340hdt.jpg'],[],-1
4.45752E+15,01月05日 23:39,迪迪看见,//@阿美回到内在的中心:/@李雪爱与自由:总结一下，发烧时可以煮沸白茶，然后加冰糖饮用来帮助退烧排毒；小儿湿疹痱子，可以用白茶擦洗；喝完的白茶可以煮了用蒸汽熏脸，调呼吸。不打农药的放心好白茶，实实在在的价格，可以加微信购买：lixuekefu。我跟妹妹穿的真丝弹力练功服，特价回馈1980元，鼓励大,[],[],0
4.4575E+15,01月05日 22:33,用户6178521355,我免费围观了@蓬蕊医生的回答，问题价值50.00元，快来一起免费围观~O微博问答?,[],[],0
4.45752E+15,01月05日 23:26,打小不爱吃香菜,因为发烧所以有点想家?,[],[],0
4.4575E+15,01月05日 22:18,查理不理智,2020年的初雪发烧咳嗽浑身无力今日讯息app很安静没来由的难过?,[],[],-1
4.4567E+15,01月03日 17:24,哈勃观察员,ElisabethBik博士又揭一起学术不端！她最近在PUBPEER网站上公开质疑北京大学药学院院长、天然药物及仿生药物国家重点实验室主任周德敏教授涉嫌学术造假。针对周德敏教授作为通讯作者或者共同作者的6篇学术论文提出质疑，表示论文中存在明显的一图多用现象。在刚刚过去的2019年里，院士、大学校长造假?展开全文c,"['https://ww4.sinaimg.cn/thumb150/007S68vTgy1gajhyou34nj30dw09gt98.jpg', 'https://ww2.sinaimg.cn/thumb150/007S68vTgy1gajhypsij2j30hs0fjmye.jpg', 'https://ww1.sinaimg.cn/thumb150/007S68vTgy1gajhyq5o33j30hs0gcgn1.jpg', 'https://ww3.sinaimg.cn/thumb150/007S68vTgy1gajhyrhzhqj30hs1dwdka.jpg']",[],-1
4.45752E+15,01月05日 23:37,大概是他,我的脸发烧了?,['https://ww4.sinaimg.cn/orj360/007Xm2QFly1gam3xbwsjsj31c01c0e81.jpg'],[],0
4.45752E+15,01月05日 23:34,被暮色渲染_122,生活是痛苦的……我们仍旧快乐：生活是快乐的；我们只愿意快乐的活着...-------《家的N次方》、我们是快乐的！我们是快乐的。生活终止了……这次发烧是睡得最爽的一次了！?,[],[],1
4.45751E+15,01月05日 23:19,闲微知渔,发烧，拉肚子?,[],[],-1
4.45752E+15,01月05日 23:45,地主妹的农场,1月1日，早晨起来，精神好了些，只是还有些发烧，不过愿意吃点东西，我熬了小米粥，吃了半碗，一直要喝水，反反复复，一天都在低烧，我一直不停的喂水，抱着，孩子身体每次不舒服，我都是抱着，搂着，很是粘我，她爸爸都不给抱，我不愿意给孩子乱吃药，每次都想着让她用自己的抵抗力去抵抗那些细菌，想?展开全文c,[],[],-1
4.45752E+15,01月05日 23:31,偷吃法拉利的小熊,nmd又是发烧又是出血真难顶啊?,['https://ww1.sinaimg.cn/orj360/ec441637ly1gam3v01exfj22c03404qs.jpg'],[],-1
4.45752E+15,01月05日 23:55,北极州的海,经历了高反发烧的张张终于圆梦了人生第一场日出金顶下的峨眉是雪中仙境金顶上的峨眉是云上天堂刚下缆车顺着楼梯迎着朝霞一路奔跑看着圆日涌出云层，洒下金光这是我一直拥有，从未逝去的青春啊?,"['https://ww2.sinaimg.cn/thumb150/005ykOvQgy1gam4jc6uo3j30rs41ue81.jpg', 'https://ww3.sinaimg.cn/thumb150/005ykOvQgy1gam4jf5f77j30rs4moqv5.jpg', 'https://ww3.sinaimg.cn/thumb150/005ykOvQgy1gam4jilx17j30rs6fje82.jpg', 'https://ww2.sinaimg.cn/orj360/005ykOvQgy1gam4jmnd2fj32bc3h04qs.jpg', 'https://ww1.sinaimg.cn/orj360/005ykOvQgy1gam4jsl63tj33402c0kjl.jpg', 'https://ww1.sinaimg.cn/orj360/005ykOvQgy1gam4jpyvmbj32o03k0e82.jpg']",[],0
4.45751E+15,01月05日 23:05,感激失去·不负相遇,坐床上嚎为什么又双叒发烧了啊哭惨?,[],[],-1
4.45744E+15,01月05日 18:44,是杨广州,我爹真的对散步有执念继两天前给我从中医院拖着我走到西大桥回家吸了一路冷风就气管炎感冒发烧嗓子疼搁家躺了两天瞎几把吃了一万种药我要是不求着去医院根本想不起来世界上还有西医这种东西昨晚上半夜三点打完针要我从医院走回家？？被我妈拦着打了个车今天打针我妈没在硬是又拉着我走回家差点没?展开全文c,[],[],0
4.45744E+15,01月05日 18:12,柒桑Sama,今天又是每个人几乎都在强调不要感冒不要生病其实这两天不知道是因为我发烧刚好还是怎么的觉得气氛有那么些温暖期待这次回归的九人吧大家都健健康康的向梦想再次努力吧。?,[],[],0
4.45752E+15,01月05日 23:37,季昂火乐,啊，桃子，我中奖啦。啊，第一次呀，激动到不会说话。新年开始就在感冒发烧，扁桃体发炎。家里躺了两天，希望这个奖能给我带来好运！祝桃子和雅越来越好呀，祝大家身体健康！@桃子与司康@发光成长社群桃子与司康?,"['https://ww4.sinaimg.cn/orj360/005MClWSly1gam3utz603j30ku0lgwlt.jpg', 'https://ww4.sinaimg.cn/orj360/005MClWSly1gam3sltqcpj30ku112gwo.jpg']",[],1
4.45751E+15,01月05日 23:01,彧韩張,【小记】20200105刚熄灯外面下雪了我妈感冒发烧了...我还在学校没在家...可能背英语背的吧...趁着黑灯哭出来了我说我为什么最近心理憋得慌我远没有我想象的坚强吧好在今天没有打原本想打的电话她也不想让我知道她的脆弱吧但我发烧真的不敢说他们担心怎么整啊好在我有多喝水不然我现?展开全文c,[],[],-1
4.45788E+15,01月06日 23:51,是个努力小蕊吖,商振博#三十天安利奶茶商振博#第二天之印象最深的一个作品街舞100进49的那个舞蹈，一个爵士风很浓的舞，节奏很快，动作也很复杂，我学了两年的爵士和都市编舞吧，反正我愣是没学好那段舞，它很好的展示了奶老师的身体框架和柔韧度，虽然射击动作慢了半拍，但是也能明确看出奶老师强大的?展开全文c,"['https://ww4.sinaimg.cn/thumb150/007u6D9Vly1gan9tibvi1j31uc1ucnpf.jpg', 'https://ww4.sinaimg.cn/thumb150/007u6D9Vly1gan9tjb1n7j30u00u0tcm.jpg']",[],0
4.45788E+15,01月06日 23:19,韩堵简文于安,曾经总是被偶然的邂逅击中，#朴彩英身材#仿佛爱情是永不回头的赌。但慢慢发现越爱越累，到最后缺的总是一个拥抱。我发烧了——多喝点水就好了；大姨妈来了——多喝点水就好了；我喝多了——多喝点水就好了；我嗓子疼——多喝点水就好了；今天好冷——多喝点水就好了；我不开心——多喝点水?,[],[],0
4.45788E+15,01月06日 23:40,Reed伟伟同学啊,在上个月发高烧之前，可乐同学一直是个天使宝宝。自从发烧之后就发生了天翻地覆的变化，妈妈必须要在可见范围之内，不然就哭；去个陌生的地方必须要妈妈抱着，否则哭；吃水果永远没有满足的时候还是哭，（曾经任由他一次性吃了6个草莓??，就想看看吃多少才能够）；爸爸妈妈必须满足他一切要求，要不?展开全文c,"['https://ww2.sinaimg.cn/thumb150/748a409aly1gan9oty3zbj239c4cge84.jpg', 'https://ww1.sinaimg.cn/thumb150/748a409aly1gan9p097o5j22o03k0u0z.jpg']",[],0
4.45787E+15,01月06日 22:53,幽兰风声x,从下午发烧到这会，感觉自己已经废了?,[],[],-1
4.45789E+15,01月06日 23:57,丶许诺w,吃狗肉喝白酒里外发烧?,[],[],-1
4.45787E+15,01月06日 23:11,妈妈OK的,宝宝发烧了怎么办家中长辈第一反应是：感冒着凉了吧，捂捂吧不懂别害宝宝呀虎妈教你3种正确应对宝宝发烧的处理方法！#育儿专家说##新手爸妈通关指南#@微博母婴L虎妈潘潘的秒拍视频O宝宝感冒发烧怎么办？?,['https://imgaliyuncdn.miaopai.com/images/4Z2TA7KTweRi3bl52z5xFbFmqwnJph6Gad9GFg___tmp_11_209_.jpg'],"['https://miaopai.video.weibocdn.com/nIPQeGkKlx07lLp7sHni01040200qjif0E013?Expires=1582139677&ssig=EVUxDne7Sc&KID=unistore,video']",0
4.45789E+15,01月06日 23:59,cakeness娴,"在家的时候发烧还会坚持上网,上学的时候打个喷嚏都会觉得是癌症晚期?",[],[],-1
4.45785E+15,01月06日 21:23,一个词穷德女人,明明是感冒发烧喉痛为什么到你那就成了害怕无奈无语2通辽?,[],[],-1
4.45787E+15,01月06日 22:55,搞笑热门神吐槽,昨天晚上有点发烧，让男朋友陪我去急诊，来回打车花了他50块钱，今天早上上来就问我要这50块钱……?,"['https://ww1.sinaimg.cn/orj360/0069TVnHgy1gan6ocwbg7j30fh0omdhl.jpg', 'https://ww2.sinaimg.cn/thumb150/0069TVnHgy1gan6od4ncyj30gt1gmgo5.jpg']",[],-1
4.45787E+15,01月06日 22:54,梁梁啊i,很久没有絮絮叨叨我们的感情了我总是很好奇爱情到底能把一个女孩子变成什么样子大概就是心理年龄疯狂下降吧一直以来都是我记路现在男朋友就是我的导航仪感冒发烧也有人照顾整晚陪着可以一起去吃想吃的东西可以一起去看喜欢的电影一起刷无数遍可以一起走遍每个景点留下游客照和男朋友?展开全文c,"['https://ww4.sinaimg.cn/thumb150/c4eeb19bly1gan8ddrl9lj21400u0q8y.jpg', 'https://ww2.sinaimg.cn/thumb150/c4eeb19bly1gan8defgw1j20u013ytge.jpg', 'https://ww1.sinaimg.cn/thumb150/c4eeb19bly1gan8dfgrmej20u0140wph.jpg', 'https://ww2.sinaimg.cn/thumb150/c4eeb19bly1gan8ej1mddj20mi0u0dnn.jpg']",[],0
4.45773E+15,01月06日 13:42,超级优惠,大白菜价出口品质HIFI发烧级友头戴式耳机监听电脑游戏手机蓝牙￥0.00大白菜价出口品质HIFI发烧级友头戴式耳机监听电脑游戏手机蓝牙?,"['https://ww3.sinaimg.cn/thumb150/9962ef1ely1gamrx7ag7hj20m80m8tco.jpg', 'https://ww3.sinaimg.cn/thumb150/9962ef1ely1gamrx78yquj20m80m8773.jpg', 'https://ww1.sinaimg.cn/thumb150/9962ef1ely1gamrx77kasj20ku0cin2d.jpg']",[],0
4.45788E+15,01月06日 23:45,香樟树下135,外面下雨的嘀嗒声貌似挺减压的。今天又在感冒发烧的边缘徘徊。智齿还是没空拔，太忙了，万一拔后身体扛不住，想休息也没时间啊。生日收到一份好友精心准备的礼物，晚上打开的时候闪着暖光惊到了满足了我的少女心，友情无价。还有收到一份弟弟送的鲜花。说实话我确实不喜欢花，不喜欢鲜花也不喜欢养?展开全文c,"['https://ww2.sinaimg.cn/thumb150/73a10383ly1gan9qnr9vrj20u014041x.jpg', 'https://ww4.sinaimg.cn/thumb150/73a10383ly1gan9swqxlpj20u01400z2.jpg', 'https://ww3.sinaimg.cn/thumb150/73a10383ly1gan9ubf6pzj21400u0dlz.jpg']",[],0
4.45788E+15,01月06日 23:50,SC陈启鑫,落地米蘭發燒了發燒了陈启鑫#陳啟鑫#微博视频?,[],[],0
4.45788E+15,01月06日 23:15,#NAME?,发烧反反复复?,[],[],-1
4.45778E+15,01月06日 16:58,糟老头子欸,流感和发烧没有击倒我，啤酒和白酒没有击倒我，最后我没能躲过肠胃炎，所以也加入吊瓶大军了L糟老头子欸的微博视频?,['https://wx2.sinaimg.cn/orj480/006tIhToly1gamy38msd1j30k00zkq5x.jpg'],"['https://f.video.weibocdn.com/000LYKVzlx07zWEnIQY8010412003rsR0E010.mp4?label=mp4_ld&template=360x640.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&Expires=1582139679&ssig=hRJwPNEa7d&KID=unistore,video']",0
4.45788E+15,01月06日 23:48,半小夏-大写的迷妹扭,就好像发烧了似的浑身酸痛无力但摸摸额头我也不像发烧啊啊啊啊好难受怎么会这样?,[],[],-1
4.45824E+15,01月07日 23:22,资妍芳乄卑劣,昨天下午发烧咳嗽一直到现在!说话都没力气!走路更没力气!睡了一天了!头都是晕晕的!?,[],[],-1
4.45824E+15,01月07日 23:12,全都是廢話QAQ,牛批感冒发烧???,[],[],-1
4.45823E+15,01月07日 22:46,王严令Prince,感冒发烧的滋味真不好受雨也终于消停了远离病痛才是最重要的愿安康晚安?,[],[],-1
4.45823E+15,01月07日 22:41,老实憨厚的Bono,发烧没好不好喝冰的，唉多肉葡萄太好喝了。2合肥·海亮九玺【九台别墅】?,['https://ww2.sinaimg.cn/orj360/005WloYrly1gaodmve5lbj32c0340npd.jpg'],[],1
4.45825E+15,01月07日 23:47,迪士多啤梨,生病发烧请假在家窝了一天昨天傍晚那会儿烧退了到了深夜又发烧到38.5朋友问我要不要去医院我说不我很抗拒晚上的急诊室会看到很多双无奈且布满血丝的眼睛晚上躺着一直在流虚汗感觉睡衣都湿透了我一动不动裹着被子躺着心里祈祷着第二天会好的果然今天退烧了今天看了“婚姻故事”?展开全文c,['https://ww1.sinaimg.cn/orj360/d4a32c29ly1gaofji84aqj23402c01ky.jpg'],[],-1
4.45825E+15,01月07日 23:47,安祺的奶牛,娃流感，跑了三趟医院，开出以下药方：一、判断病毒感染，开了奥司他韦，布洛芬，蒲地兰（出了名的回扣药，直接没给祺吃）二、反复发烧，病毒感染的特性，继续观察不用药，我是无所谓，问题是发烧第三天了，相继出现咳嗽、腹泻症状，家里长辈撑不住了，再次看了医生，未做任何检查，直接开了抗生素头?展开全文c,[],[],-1
4.45821E+15,01月07日 21:44,花看世界--411,下午两点多，米花开始发烧，近38度，不过她的精神状态一直很好，晚饭依旧能吃能喝的。晚上九点38.5度，吃了退烧药睡去，但愿晚上不要太遭罪啊！她现在除了说自己的姓，还会说姥姥的姓！很多问题她都能反应过来，很聪明的宝宝！?,[],[],0
4.45823E+15,01月07日 22:46,MACZX,SARS那年把香港玩坏了，内陆总共死了三百多人，香港就干掉将近三百人，那人口密度，他们确实应该怕。再严重的事咱们风格向来内紧外松，香港全是起哄架秧子裹乱的??，只要武汉过去发烧的都算疑似，算谨慎防范没问题，但添油加醋全是谣言，他们喜欢这活法，不嫌累，乐在其中,['https://imgaliyuncdn.miaopai.com/images/TFDrjUiHUcxGyaafkHrfwvD-964pkSAFZow9kQ___pyr9_4.jpg'],"['https://miaopai.video.weibocdn.com/004w0cswlx07zYelxVaM01041200kfLM0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1582139681&ssig=slz1XobtJ8&KID=unistore,video']",0
4.45817E+15,01月07日 18:35,HnN莫小言,感冒发烧不想吃药打针那就挺着别说难受?,[],[],0
4.45814E+15,01月07日 17:04,karen17260,今天好焦急，我的都宝贝在经历了咳嗽发烧，并且吊瓶加吸雾化3天后咳嗽稍微减少，竟然又开始发烧，我心里很乱，很多可怕的想法，只求一切都好，我的宝宝一切都好好的，坚强的挺过去，不知道后面迎接我的是什么？但愿一切都是好的。?,[],[],1
4.45824E+15,01月07日 23:28,非典型听歌群众,音乐今天感冒了，头痛发烧加咳嗽。于是没怎么更新。睡前突发奇想，在音乐软件搜“感冒”，结果被这个歌名笑到。像极了在社交软件上拼命凑字数的我。?,['https://ww4.sinaimg.cn/orj360/007Yvwa2ly1gaof4cqnepj30u019v0wn.jpg'],[],1
4.45857E+15,01月08日 21:11,染柳幾許,//@宇宙浪漫·:刘耀文太他妈帅了//@关爱Coolguy健康成长:持续发烧?????,"['https://ww4.sinaimg.cn/thumb150/69641508ly1gapdufmtfij21pc0yihdw.jpg', 'https://ww1.sinaimg.cn/thumb150/69641508ly1gapdx5gyo6j21pc0yihdw.jpg', 'https://ww1.sinaimg.cn/thumb150/69641508ly1gapdv7huukj21pc0yihdw.jpg', 'https://ww2.sinaimg.cn/thumb150/69641508ly1gapdx7q8mxj21pc0yib2c.jpg', 'https://ww4.sinaimg.cn/thumb150/69641508ly1gapdvlkxduj21pc0yib2c.jpg', 'https://ww2.sinaimg.cn/thumb150/69641508ly1gapdvsfg4fj21pc0yib2c.jpg', 'https://ww3.sinaimg.cn/thumb150/69641508ly1gapdtzcnpsj21pa3tgb2c.jpg', 'https://ww1.sinaimg.cn/thumb150/69641508ly1gapdtstx31j21p95qhe86.jpg', 'https://ww3.sinaimg.cn/thumb150/69641508ly1gapdtoqykaj21pc9j0x6y.jpg']",[],0
4.45861E+15,01月08日 23:47,高小兴儿,晚上睡下温度又上来了……下午医生说再发烧就要挂水、明天去吧睡的不安稳，我碰一下额头她就醒了，刚刚叫醒又喂了美林，我看着，等会再量一下温度?,[],[],0
4.45861E+15,01月08日 23:39,Emmy意,【3Y7M27D】昨天幼儿园放学回家奶奶看她精神不太好，一量体温发烧了。今天请假在家休息，明天也不知道什么情况，幼儿园的“勇敢者之夜”活动不知道还能不能参加了。?,"['https://ww2.sinaimg.cn/orj360/007OTHgggy1gapkuwl059j33402c0b29.jpg', 'https://ww1.sinaimg.cn/orj360/007OTHgggy1gapkuybwvtj33402c0b29.jpg']",[],0
4.4586E+15,01月08日 23:20,欢乐牙签攻,昨儿咳嗽基本上好了，就是躺下要睡着那会儿嗓子痒，咳嗽了几声。今儿似乎又厉害了点儿，临睡之前赶紧针上。没按课本来的，但咳嗽停了，就是嗓子眼儿和肚子在往外冒热气。平时练减肚子的针，那也热，但，温煦的那种热，很舒服，跟早晨9点多的太阳似的。这个热就像一个发烧的人把手搭在你身上的那种闷?展开全文c,"['https://ww2.sinaimg.cn/thumb150/7f17820cly1gapk7k5n8zj20zk0k00xp.jpg', 'https://ww2.sinaimg.cn/orj360/7f17820cly1gapk7r5hb0j20k00zkjvo.jpg', 'https://ww3.sinaimg.cn/orj360/7f17820cly1gapk7yyi4yj20k00zkdm4.jpg', 'https://ww1.sinaimg.cn/orj360/7f17820cly1gapk89hdfaj20k00zkdnl.jpg']",[],0
4.45897E+15,01月09日 23:52,卫六的纸片人儿,#三九第一天#感冒+发烧+咳嗽?,[],[],-1
4.45897E+15,01月09日 23:39,胖七生活日志,#DailyRecordingofLife#我的闺女从发烧了可怜巴巴到半夜跑起来去厨房偷肉吃全程不超过五小时@向雨涵y?,[],[],0
4.45896E+15,01月09日 23:12,相对论-IV,快要发烧又没有发烧的感觉真的好奇特好想吃雪糕?,['https://ww3.sinaimg.cn/orj360/d3f857f1ly1gaqpnj7yc7j20sg0sgtaj.jpg'],[],0
4.4589E+15,01月09日 18:48,瀌瀌,做完了手术，熬过了发烧，养好了背疼，治好了pp，送走了姨妈，还是没躲过感冒，我这毛病啊，此起彼伏的，2020年了，能不能对我温柔点，我想正常的过几天，行不行？鼠年，我就问你行不行？！?,[],[],0
4.45716E+15,01月04日 23:47,瑾抱一棵树,记一个就算发烧也要拼命跟朋友们玩的女子，请你们记住我，一个浪子，不回头那种，39度?,['https://ww4.sinaimg.cn/orj360/893d5394ly1gakyoh3huxj20po1hch2b.jpg'],[],0
4.45896E+15,01月09日 23:04,KUN的能量站,害因为最近一直在赶论文进度不怎么看手机加上中途又经常被妈妈拽出去逛街……我甚至到刚才才知道今天有直播（不过……我必须继续写啦……15号之前搞不定两篇的话……我整个上半年都不能好过了……明天早上再补课叭……听说你感冒了，怎么不照顾好自己啊……肯定是熬夜又挨冻加上流感闹得叭……一?展开全文c,[],[],0
4.45892E+15,01月09日 20:30,ETtoday新聞雲,【3岁男童高烧住院20天，父花5万救命才发现体温计坏了】江西一名3岁男童早前因肺部感染，住院治疗了半年的时间，让父母花了约人民币60万医药费才让情况好转，不过他近日又出现发烧的情况，紧急住院了20天，又花5万元医药费，却仍然没有退烧。岂料最后发烧的原因，竟是因为体温计坏了，让男童父亲气炸。?展开全文c,['https://imgaliyuncdn.miaopai.com/images/3IfGgSoyKtEAcHPdPELdxE1Bj2BTdCoKRY9-vw___3CPv_4.jpg'],"['https://miaopai.video.weibocdn.com/001akxqklx07zZMwXT6M01041200kd2V0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1582139690&ssig=CDHXseGrOM&KID=unistore,video']",0
4.45887E+15,01月09日 17:23,褐瑟的眸子,发烧38.6…一个烤冷面，真好吃，有点咸?,[],[],0
4.45933E+15,01月10日 23:33,油菜花滴yi片天,突然扛不住了，发烧，忽冷忽热！头疼！真难受！连续加班！真的伤人！?,[],[],-1
4.45932E+15,01月10日 23:05,angel美1997,今晚第一次把娃送他奶奶房间睡，好舍不得，可惜自己感冒咳嗽还发烧，但愿一觉醒来烧退感冒好，这样就不会传染给我家宝了，妈咪爱你我的小宝贝?,"['https://ww1.sinaimg.cn/orj360/006rgQ7Bly1garv3yremnj33282aox6p.jpg', 'https://ww3.sinaimg.cn/orj360/006rgQ7Bly1garv422ytej33282ao4qq.jpg', 'https://ww3.sinaimg.cn/orj360/006rgQ7Bly1garv43hselj33282ao7wi.jpg']",[],0
